Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2022,Aceh,Kab. Aceh Selatan,1.10,0.92,6.00,5.65,5.95,0.40,
2022,Aceh,Kab. Aceh Tenggara,20.00,14.00,25.00,15.00,8.00,8.00,1.00
2022,Aceh,Kab. Aceh Timur,19.30,5.04,10.00,8.00,5.00,2.00,2.00
2022,Aceh,Kab. Aceh Barat,38.80,5.95,13.15,25.56,7.39,6.06,4.09
2022,Aceh,Kab. Pidie,9.90,6.60,39.60,,3.96,,5.94
2022,Aceh,Kab. Simeulue,27.21,4.46,5.80,3.57,2.68,0.45,0.45
2022,Aceh,Kab. Aceh Singkil,31.00,1.00,10.00,4.00,3.00,2.00,1.77
2022,Aceh,Kab. Aceh Barat Daya,4.00,1.00,4.50,2.00,3.20,3.50,2.00
2022,Aceh,Kab. Gayo Lues,22.00,4.00,11.05,1.00,2.00,,1.00
2022,Aceh,Kab. Aceh Jaya,17.94,3.78,7.08,10.39,4.72,2.36,0.94
2022,Aceh,Kab. Nagan Raya,13.50,1.00,8.50,2.85,1.50,1.50,1.00
2022,Aceh,Kab. Aceh Tamiang,7.50,3.00,24.00,6.00,2.50,,7.00
2022,Aceh,Kab. Bener Meriah,37.85,0.28,2.01,21.06,2.25,0.80,1.00
2022,Aceh,Kab. Pidie Jaya,17.00,6.50,22.00,26.50,8.00,9.50,10.50
2022,Aceh,Kota Banda Aceh,192.94,0.58,9.38,39.57,2.55,,7.19
2022,Aceh,Kota Sabang,7.00,3.00,0.50,4.50,0.50,2.00,2.00
2022,Aceh,Kota Langsa,20.00,4.02,13.40,10.00,8.20,2.20,
2022,Aceh,Kota Subulussalam,15.00,0.50,8.00,2.00,2.00,24.00,
2022,Sumatera Utara,Kab. Tapanuli Tengah,,,,,,,
2022,Sumatera Utara,Kab. Nias,4.60,0.50,0.50,,,,1.25
2022,Sumatera Utara,Kab. Langkat,8.50,5.40,7.60,6.00,3.90,1.90,2.80
2022,Sumatera Utara,Kab. Deli Serdang,446.00,67.80,180.00,67.80,100.16,25.90,83.00
2022,Sumatera Utara,Kab. Simalungun,254.10,50.80,138.25,12.10,79.30,13.80,45.80
2022,Sumatera Utara,Kab. Asahan,,,,,,,
2022,Sumatera Utara,Kab. Toba,,,,,,,
2022,Sumatera Utara,Kab. Humbang Hasundutan,49.10,0.75,5.50,,1.45,,2.50
2022,Sumatera Utara,Kota Medan,795.00,141.00,353.00,177.00,177.00,88.00,36.00
2022,Sumatera Utara,Kota Pematang Siantar,169.01,4.83,24.14,12.07,4.82,12.08,14.48
2022,Sumatera Utara,Kota Tebing Tinggi,76.85,9.50,22.32,9.00,4.20,2.57,0.18
2022,Sumatera Utara,Kota Padangsidimpuan,,,,,,,
2022,Sumatera Barat,Kab. Pesisir Selatan,86.10,16.00,28.30,1.50,18.00,3.60,
2022,Sumatera Barat,Kab. Solok,6.00,1.00,4.00,2.00,2.00,1.00,1.00
2022,Sumatera Barat,Kab. Sijunjung,22.80,7.30,2.20,0.90,1.61,0.70,
2022,Sumatera Barat,Kab. Tanah Datar,96.40,0.28,17.75,1.54,12.27,,
2022,Sumatera Barat,Kab. Padang Pariaman,15.00,12.00,30.00,,,,
2022,Sumatera Barat,Kab. Agam,,,,,,,
2022,Sumatera Barat,Kab. Lima Puluh Kota,,,,,,,
2022,Sumatera Barat,Kab. Pasaman,51.77,4.55,13.00,3.84,8.85,,5.84
2022,Sumatera Barat,Kab. Dharmasraya,,,,,,,
2022,Sumatera Barat,Kab. Solok Selatan,68.95,0.04,1.31,1.99,0.41,,0.01
2022,Sumatera Barat,Kab. Pasaman Barat,50.00,5.00,20.00,15.00,5.00,,5.00
2022,Sumatera Barat,Kota Padang,465.15,14.10,88.60,20.13,40.68,7.05,8.05
2022,Sumatera Barat,Kota Solok,32.71,1.60,16.21,0.45,1.53,0.04,1.73
2022,Sumatera Barat,Kota Sawahlunto,12.59,0.32,2.33,0.18,1.40,0.28,1.08
